elt_condition,pc_brand,pc_model,pc_cpu,pc_ram,pc_drive_capacity,usage_information,pc_vga,desktop_screen_size,elt_warranty,elt_origin,classify,price
Đã sử dụng (chưa sửa chữa),HP,Elitebook,,,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,4.990.000 đ
Đã sử dụng (qua sửa chữa),Sony,C Series,Intel Core i3,6 GB,,In trên bao bì,,,Bảo hành hãng,Nhật Bản,laptop,1.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Elitebook,Intel Core i7,8 GB,128 GB,In trên bao bì,Onboard,11 - 12.9 inch,3 tháng,Đang cập nhật,laptop,5.900.000 đ
Đã sử dụng (chưa sửa chữa),Dell,XPS,Intel Core i5,8 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,3 tháng,Mỹ,laptop,7.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Precision,Intel Core i7,32 GB,512 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,4-6 tháng,Mỹ,laptop,7.900.000 đ
Đã sử dụng (chưa sửa chữa),Sony,Dòng Khác,Intel Core i5,4 GB,128 GB,In trên bao bì,Onboard,11 - 12.9 inch,Hết bảo hành,Đang cập nhật,laptop,4.999.000 đ
Đã sử dụng (chưa sửa chữa),Hãng Khác,Dòng Khác,Intel Core i5,8 GB,512 GB,In trên bao bì,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,laptop,8.400.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Dòng Khác,Intel Core i3,4 GB,512 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,laptop,2.900.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro Touch Bar,Intel Core i7,16 GB,512 GB,In trên bao bì,Onboard,13 - 14.9 inch,1 tháng,Đang cập nhật,laptop,13.900.000 đ
Đã sử dụng (chưa sửa chữa),HP,Compaq,Intel Core i5,4 GB,320 GB,In trên bao bì,Onboard,13 - 14.9 inch,Còn bảo hành,Mỹ,laptop,2.000.000 đ
Đã sử dụng (chưa sửa chữa),Sony,Vaio Series,Intel Core i5,8 GB,256 GB,In trên bao bì,NVIDIA,13 - 14.9 inch,Bảo hành hãng,Nhật Bản,laptop,850.000 đ
Đã sử dụng (chưa sửa chữa),Dell,G Series,Intel Core i5,16 GB,500 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,7-12 tháng,Việt Nam,laptop,10.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Pavilion,Intel Core i5,8 GB,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,6.000.000 đ
Đã sử dụng (chưa sửa chữa),Microsoft,Surface Pro 5,Intel Core i5,8 GB,128 GB,In trên bao bì,Onboard,,Bảo hành hãng,Đang cập nhật,laptop,4.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Latitude,Intel Core i7,,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,4.900.000 đ
