elt_condition,pc_brand,pc_model,pc_cpu,pc_ram,pc_drive_capacity,usage_information,pc_vga,desktop_screen_size,elt_warranty,elt_origin,classify,price
Đã sử dụng (chưa sửa chữa),Asus,VivoBook S Series,Intel Core i5,8 GB,512 GB,In trên bao bì,Onboard,13 - 14.9 inch,4-6 tháng,Việt Nam,laptop,9.800.000 đ
Đã sử dụng (chưa sửa chữa),HP,Elitebook,Ryzen 3,8 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,Hết bảo hành,Nước khác,laptop,5.200.000 đ
Đã sử dụng (chưa sửa chữa),Asus,TUF Gaming,,,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,14.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Precision,Intel Core i7,16 GB,512 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,1 tháng,Mỹ,laptop,11.300.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Air M2,Khác,8 GB,256 GB,In trên bao bì,Khác,15 - 16.9 inch,4-6 tháng,Mỹ,laptop,23.500.000 đ
Đã sử dụng (chưa sửa chữa),Microsoft,Surface Pro 5,Intel Core i3,4 GB,128 GB,In trên bao bì,Onboard,9 - 10.9 inch,Hết bảo hành,Việt Nam,laptop,3.300.000 đ
Đã sử dụng (chưa sửa chữa),Acer,Aspire,Ryzen 7,16 GB,512 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,3 tháng,Việt Nam,laptop,10.900.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro,,,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,15.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Latitude,Intel Core i5,8 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,3 tháng,Mỹ,laptop,5.500.000 đ
Đã sử dụng (chưa sửa chữa),Hãng Khác,Dòng Khác,Intel Atom,2 GB,< 128 GB,In trên bao bì,Onboard,19 - 20.9 inch,Hết bảo hành,Mỹ,laptop,1.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Precision,Intel Core i9,16 GB,512 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,1 tháng,Mỹ,laptop,18.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro M1 Touch Bar,Khác,16 GB,512 GB,In trên bao bì,Khác,13 - 14.9 inch,4-6 tháng,Đang cập nhật,laptop,21.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro M1 Touch Bar,Khác,16 GB,512 GB,In trên bao bì,Khác,13 - 14.9 inch,4-6 tháng,Đang cập nhật,laptop,21.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Latitude,Intel Core i7,8 GB,256 GB,In trên bao bì,Onboard,11 - 12.9 inch,3 tháng,Mỹ,laptop,4.800.000 đ
Mới,Dell,XPS,Intel Core i7,32 GB,1 TB,In trên bao bì,Onboard,13 - 14.9 inch,7-12 tháng,Mỹ,laptop,25.990.000 đ
Đã sử dụng (chưa sửa chữa),HP,ZBook,Intel Core i7,4 GB,128 GB,In trên bao bì,Onboard,13 - 14.9 inch,1 tháng,Nhật Bản,laptop,3.350.000 đ
Đã sử dụng (chưa sửa chữa),HP,Victus,Ryzen 5,32 GB,512 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,Hết bảo hành,Việt Nam,laptop,13.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Air,Intel Core i3,8 GB,256 GB,In trên bao bì,Khác,13 - 14.9 inch,4-6 tháng,Mỹ,laptop,12.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Dòng Khác,Intel Core i5,8 GB,128 GB,In trên bao bì,AMD,13 - 14.9 inch,Hết bảo hành,Nước khác,laptop,4.150.000 đ
Đã sử dụng (qua sửa chữa),Apple,MacBook Pro,Intel Core i5,8 GB,250 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,Hết bảo hành,Đang cập nhật,laptop,1.500.000 đ
Mới,Dell,XPS,Intel Core i7,16 GB,512 GB,In trên bao bì,Onboard,13 - 14.9 inch,7-12 tháng,Mỹ,laptop,23.990.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Latitude,Intel Core i5,8 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,Bảo hành hãng,Mỹ,laptop,7.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Latitude,Intel Core i5,4 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,Bảo hành hãng,Việt Nam,laptop,2.800.000 đ
Đã sử dụng (chưa sửa chữa),HP,Notebook,Intel Core i5,8 GB,512 GB,In trên bao bì,Onboard,17 - 18.9 inch,3 tháng,Việt Nam,laptop,8.200.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro,Intel Core i5,8 GB,256 GB,In trên bao bì,Khác,13 - 14.9 inch,4-6 tháng,Hàn Quốc,laptop,11.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Vostro,Intel Core i3,8 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,3 tháng,Việt Nam,laptop,6.200.000 đ
Đã sử dụng (chưa sửa chữa),Asus,TUF Gaming,,,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,18.890.000 đ
Mới,Apple,MacBook,Khác,8 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,7-12 tháng,Mỹ,laptop,22.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,ProBook,Intel Core i7,8 GB,128 GB,In trên bao bì,Onboard,15 - 16.9 inch,Bảo hành hãng,Nhật Bản,laptop,6.000.000 đ
Đã sử dụng (chưa sửa chữa),Asus,X Series,Intel Core i5,8 GB,128 GB,In trên bao bì,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,laptop,2.300.000 đ
Đã sử dụng (chưa sửa chữa),Asus,X Series,Intel Core i3,8 GB,128 GB,In trên bao bì,Onboard,15 - 16.9 inch,1 tháng,Việt Nam,laptop,2.600.000 đ
Đã sử dụng (chưa sửa chữa),Toshiba,Satellite Series,Intel Core i5,8 GB,128 GB,In trên bao bì,Onboard,13 - 14.9 inch,Hết bảo hành,Nước khác,laptop,1.600.000 đ
Mới,Apple,MacBook Pro M2,Khác,32 GB,512 GB,In trên bao bì,Khác,13 - 14.9 inch,Còn bảo hành,Mỹ,laptop,43.000.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Dòng Khác,Intel Core i3,4 GB,128 GB,In trên bao bì,Onboard,11 - 12.9 inch,Hết bảo hành,Việt Nam,laptop,2.400.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Dòng Khác,Intel Core i5,8 GB,256 GB,In trên bao bì,Onboard,15 - 16.9 inch,1 tháng,Nhật Bản,laptop,5.250.000 đ
Đã sử dụng (chưa sửa chữa),Acer,Dòng Khác,,,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,11.300.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro Touch Bar,Intel Core i7,16 GB,> 1 TB,In trên bao bì,Khác,15 - 16.9 inch,4-6 tháng,Mỹ,laptop,12.000.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,IdeaPad,Ryzen 5,8 GB,512 GB,In trên bao bì,,15 - 16.9 inch,Còn bảo hành,Nước khác,laptop,8.990.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Inspiron,Intel Core i7,16 GB,128 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,laptop,10.500.000 đ
Đã sử dụng (chưa sửa chữa),MSI,GF Series,Intel Core i5,8 GB,512 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,7-12 tháng,Việt Nam,laptop,12.490.000 đ
Đã sử dụng (chưa sửa chữa),Asus,A series,Intel Core i5,8 GB,128 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,Hết bảo hành,Đang cập nhật,laptop,1.900.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Latitude,Intel Core i7,16 GB,256 GB,In trên bao bì,Onboard,11 - 12.9 inch,3 tháng,Nhật Bản,laptop,5.800.000 đ
Đã sử dụng (chưa sửa chữa),Acer,Dòng Khác,,,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,1.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Air,Intel Core i5,8 GB,256 GB,In trên bao bì,,13 - 14.9 inch,Hết bảo hành,Đang cập nhật,laptop,6.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Air,Intel Core i5,16 GB,512 GB,In trên bao bì,Khác,13 - 14.9 inch,4-6 tháng,Mỹ,laptop,9.000.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,ThinkPad,Intel Core i5,4 GB,500 GB,In trên bao bì,Onboard,13 - 14.9 inch,Còn bảo hành,Nước khác,laptop,2.300.000 đ
Đã sử dụng (chưa sửa chữa),HP,Envy,Ryzen 7,16 GB,512 GB,In trên bao bì,Onboard,15 - 16.9 inch,Còn bảo hành,Đang cập nhật,laptop,12.000.000 đ
Đã sử dụng (chưa sửa chữa),Asus,TUF Gaming,Intel Core i5,8 GB,512 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,4-6 tháng,Đang cập nhật,laptop,12.899.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Vostro,Intel Core i5,8 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,3 tháng,Đang cập nhật,laptop,4.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Dòng Khác,AMD,8 GB,256 GB,In trên bao bì,AMD,13 - 14.9 inch,Bảo hành hãng,Nhật Bản,laptop,3.300.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Air M2,Khác,8 GB,256 GB,In trên bao bì,Khác,13 - 14.9 inch,4-6 tháng,Đang cập nhật,laptop,18.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Inspiron,,,128 GB,In trên bao bì,,13 - 14.9 inch,Bảo hành hãng,Việt Nam,laptop,3.200.000 đ
Đã sử dụng (chưa sửa chữa),HP,Pavilion,,,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,7.000.000 đ
Mới,Acer,Nitro 5,,,,In trên bao bì,,,Bảo hành hãng,Việt Nam,laptop,20.900.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,ThinkPad,Ryzen 7,16 GB,512 GB,In trên bao bì,Onboard,13 - 14.9 inch,3 tháng,Đang cập nhật,laptop,14.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro Touch Bar,Khác,16 GB,512 GB,In trên bao bì,Khác,13 - 14.9 inch,4-6 tháng,Đang cập nhật,laptop,20.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Dòng Khác,Khác,> 32GB,1 TB,In trên bao bì,Khác,13 - 14.9 inch,Bảo hành hãng,Mỹ,laptop,60.990.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,ThinkPad,Intel Core i5,8 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,1 tháng,Việt Nam,laptop,4.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,XPS,Intel Core i7,16 GB,256 GB,In trên bao bì,,13 - 14.9 inch,3 tháng,Mỹ,laptop,8.900.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro,Intel Core i7,16 GB,512 GB,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,5.300.000 đ
Đã sử dụng (chưa sửa chữa),Microsoft,Surface Book 2,Intel Core i7,16 GB,512 GB,In trên bao bì,NVIDIA,,Bảo hành hãng,Đang cập nhật,laptop,10.800.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro Touch Bar,Intel Core i5,16 GB,512 GB,In trên bao bì,Khác,13 - 14.9 inch,4-6 tháng,Mỹ,laptop,15.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro Touch Bar,Intel Core i7,16 GB,512 GB,In trên bao bì,AMD,15 - 16.9 inch,Bảo hành hãng,Mỹ,laptop,21.990.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Dòng Khác,Intel Core i5,8 GB,256 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,4-6 tháng,Đang cập nhật,laptop,7.899.000 đ
Đã sử dụng (chưa sửa chữa),HP,Dòng Khác,Intel Core i5,4 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,3 tháng,Đang cập nhật,laptop,5.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro,,,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,13.500.000 đ
Đã sử dụng (chưa sửa chữa),Microsoft,Surface Book 2,Intel Core i7,16 GB,256 GB,In trên bao bì,NVIDIA,,Bảo hành hãng,Đang cập nhật,laptop,10.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Vostro,Intel Core i7,16 GB,512 GB,In trên bao bì,NVIDIA,13 - 14.9 inch,3 tháng,Đang cập nhật,laptop,11.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Inspiron,Intel Core i7,16 GB,512 GB,In trên bao bì,Onboard,13 - 14.9 inch,1 tháng,Nước khác,laptop,11.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,ProBook,Intel Core i3,4 GB,128 GB,In trên bao bì,Onboard,15 - 16.9 inch,4-6 tháng,Đang cập nhật,laptop,4.500.000 đ
Mới,Apple,MacBook Air M2,Khác,16 GB,512 GB,In trên bao bì,Khác,15 - 16.9 inch,Còn bảo hành,Mỹ,laptop,39.000.000 đ
Đã sử dụng (chưa sửa chữa),Microsoft,Surface,Intel Atom,4 GB,128 GB,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,1.899.999 đ
Đã sử dụng (chưa sửa chữa),Acer,Dòng Khác,Intel Core i5,4 GB,128 GB,In trên bao bì,Khác,15 - 16.9 inch,3 tháng,Việt Nam,laptop,3.800.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro,Intel Core i7,16 GB,512 GB,In trên bao bì,,13 - 14.9 inch,Bảo hành hãng,Việt Nam,laptop,7.800.000 đ
Đã sử dụng (chưa sửa chữa),Hãng Khác,Dòng Khác,Intel Core i5,16 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,3 tháng,Mỹ,laptop,7.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro,Intel Core i7,16 GB,500 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,1 tháng,Việt Nam,laptop,7.900.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Latitude,Intel Core i5,8 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,3 tháng,Đang cập nhật,laptop,6.200.000 đ
Mới,Lenovo,IdeaPad,Intel Pentium,4 GB,256 GB,In trên bao bì,Onboard,11 - 12.9 inch,Còn bảo hành,Việt Nam,laptop,2.900.000 đ
Đã sử dụng (chưa sửa chữa),Microsoft,Surface Book 2,Intel Core i7,8 GB,256 GB,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,9.000.000 đ
Đã sử dụng (chưa sửa chữa),HP,Pavilion,AMD,4 GB,250 GB,In trên bao bì,Onboard,15 - 16.9 inch,Hết bảo hành,Mỹ,laptop,500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro,Intel Core i5,8 GB,256 GB,In trên bao bì,Khác,13 - 14.9 inch,Hết bảo hành,Việt Nam,laptop,7.100.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro Touch Bar,Intel Core i5,8 GB,256 GB,In trên bao bì,Khác,13 - 14.9 inch,4-6 tháng,Mỹ,laptop,10.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Latitude,Intel Core i5,8 GB,128 GB,In trên bao bì,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,laptop,1.600.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Vostro,Intel Core i5,8 GB,256 GB,In trên bao bì,AMD,15 - 16.9 inch,Bảo hành hãng,Nhật Bản,laptop,5.000.000 đ
Đã sử dụng (qua sửa chữa),Apple,MacBook Air,Intel Core i5,8 GB,128 GB,In trên bao bì,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,laptop,6.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro Touch Bar,Intel Core i9,16 GB,512 GB,In trên bao bì,AMD,15 - 16.9 inch,Hết bảo hành,Đang cập nhật,laptop,15.800.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro,Intel Core i5,4 GB,128 GB,In trên bao bì,Onboard,13 - 14.9 inch,1 tháng,Việt Nam,laptop,4.600.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,IdeaPad,,,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,2.400.000 đ
Đã sử dụng (chưa sửa chữa),Sony,Vaio Series,Intel Core i3,4 GB,< 128 GB,In trên bao bì,AMD,13 - 14.9 inch,Hết bảo hành,Trung Quốc,laptop,1.499.000 đ
Đã sử dụng (chưa sửa chữa),HP,Elitebook,Intel Core i5,8 GB,256 GB,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,6.700.000 đ
Đã sử dụng (chưa sửa chữa),Dell,G Series,Intel Core i7,16 GB,512 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,1 tháng,Mỹ,laptop,16.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Dòng Khác,,,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,3.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Dòng Khác,,,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,3.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Air,Intel Core i5,8 GB,256 GB,In trên bao bì,Khác,13 - 14.9 inch,4-6 tháng,Mỹ,laptop,8.500.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,ThinkPad,Intel Core i5,8 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,>12 tháng,Việt Nam,laptop,9.999.000 đ
Đã sử dụng (chưa sửa chữa),HP,Spectre,Intel Core i7,16 GB,512 GB,In trên bao bì,Onboard,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,laptop,17.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Vostro,Intel Core i5,8 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,3 tháng,Việt Nam,laptop,7.800.000 đ
Đã sử dụng (chưa sửa chữa),Microsoft,Surface Book,Intel Core i7,16 GB,512 GB,In trên bao bì,NVIDIA,,Bảo hành hãng,Đang cập nhật,laptop,6.500.000 đ
Mới,Apple,MacBook Air M2,Khác,16 GB,256 GB,In trên bao bì,Khác,13 - 14.9 inch,Còn bảo hành,Mỹ,laptop,25.500.000 đ
Mới,Acer,Nitro 5,,,,In trên bao bì,,,Bảo hành hãng,Việt Nam,laptop,22.900.000 đ
Đã sử dụng (chưa sửa chữa),Acer,Dòng Khác,Intel Core i5,4 GB,128 GB,In trên bao bì,Khác,>= 21 inch,>12 tháng,Đang cập nhật,laptop,3.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Precision,Intel Core i7,16 GB,512 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,laptop,12.990.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,ThinkPad,Intel Core i7,16 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,7-12 tháng,Đang cập nhật,laptop,11.500.000 đ
Đã sử dụng (chưa sửa chữa),Asus,TUF Gaming,Ryzen 7,8 GB,512 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,4-6 tháng,Đang cập nhật,laptop,13.499.000 đ
Đã sử dụng (chưa sửa chữa),HP,Pavilion,Intel Core i5,8 GB,256 GB,In trên bao bì,Onboard,15 - 16.9 inch,3 tháng,Việt Nam,laptop,8.500.000 đ
Đã sử dụng (chưa sửa chữa),Microsoft,Surface Pro 3,Intel Core i5,8 GB,256 GB,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,4.300.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Air M1,Khác,8 GB,512 GB,In trên bao bì,Khác,13 - 14.9 inch,4-6 tháng,Đang cập nhật,laptop,14.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Notebook,Ryzen 3,8 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,Hết bảo hành,Mỹ,laptop,4.250.000 đ
Đã sử dụng (qua sửa chữa),Dell,Inspiron,Intel Core i3,4 GB,< 128 GB,In trên bao bì,Khác,13 - 14.9 inch,Hết bảo hành,Nhật Bản,laptop,1.500.000 đ
Đã sử dụng (chưa sửa chữa),Asus,X Series,Intel Core i3,4 GB,128 GB,In trên bao bì,Onboard,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,laptop,3.000.000 đ
Đã sử dụng (chưa sửa chữa),Toshiba,Satellite Series,Intel Core i5,4 GB,128 GB,In trên bao bì,Onboard,13 - 14.9 inch,Bảo hành hãng,Nhật Bản,laptop,4.999.999 đ
Mới,MSI,Modern Series,Intel Core i5,8 GB,256 GB,In trên bao bì,Khác,15 - 16.9 inch,Hết bảo hành,Việt Nam,laptop,9.500.000 đ
Đã sử dụng (chưa sửa chữa),Microsoft,Surface Book 2,Intel Core i5,8 GB,256 GB,In trên bao bì,Onboard,,Bảo hành hãng,Đang cập nhật,laptop,6.500.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Dòng Khác,Intel Core i5,4 GB,320 GB,In trên bao bì,Onboard,13 - 14.9 inch,Hết bảo hành,Nước khác,laptop,950.000 đ
Đã sử dụng (chưa sửa chữa),Hãng Khác,Dòng Khác,,16 GB,> 1 TB,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,15.990.000 đ
Đã sử dụng (chưa sửa chữa),HP,Elitebook,Intel Core i5,8 GB,< 128 GB,In trên bao bì,,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,laptop,1.650.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Dòng Khác,Intel Core i5,8 GB,128 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,Còn bảo hành,Nước khác,laptop,3.650.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,ThinkPad,,,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,2.900.000 đ
Mới,Dell,Latitude,Intel Core i5,8 GB,256 GB,In trên bao bì,,15 - 16.9 inch,Hết bảo hành,Nhật Bản,laptop,4.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Dòng Khác,,,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,4.600.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Dòng Khác,,,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,8.200.000 đ
Đã sử dụng (chưa sửa chữa),HP,ZBook,,,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,29.900.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro,,8 GB,256 GB,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,7.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Latitude,Intel Core i5,8 GB,128 GB,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,3.900.000 đ
Đã sử dụng (chưa sửa chữa),HP,Elitebook,Intel Core i5,8 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,3 tháng,Đang cập nhật,laptop,5.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Alienware,Intel Core i7,16 GB,256 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,3 tháng,Đang cập nhật,laptop,10.900.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Latitude,,,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,5.300.000 đ
Đã sử dụng (chưa sửa chữa),HP,Dòng Khác,Intel Core i3,4 GB,256 GB,In trên bao bì,Khác,15 - 16.9 inch,Hết bảo hành,Mỹ,laptop,4.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Inspiron,Intel Core i5,8 GB,< 128 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,Còn bảo hành,Đang cập nhật,laptop,4.000.000 đ
Đã sử dụng (chưa sửa chữa),Microsoft,Dòng khác,Intel Core i7,16 GB,256 GB,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,12.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,XPS,,,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,9.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Inspiron,Intel Core i5,4 GB,128 GB,In trên bao bì,Onboard,13 - 14.9 inch,3 tháng,Việt Nam,laptop,1.750.000 đ
Đã sử dụng (chưa sửa chữa),MSI,Bravo Series,Ryzen 5,8 GB,256 GB,In trên bao bì,AMD,15 - 16.9 inch,Hết bảo hành,Việt Nam,laptop,9.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro,,,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,2.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Dòng Khác,Intel Core i5,4 GB,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,750.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Latitude,Intel Core i7,8 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,laptop,6.500.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,ThinkPad,Intel Core i7,8 GB,128 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,3 tháng,Đang cập nhật,laptop,3.700.000 đ
Đã sử dụng (chưa sửa chữa),HP,Envy,Intel Core i7,8 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,laptop,6.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Dòng Khác,,,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,3.100.000 đ
Đã sử dụng (qua sửa chữa),HP,Pavilion,Intel Core i3,8 GB,640 GB,In trên bao bì,,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,laptop,2.400.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Inspiron,Intel Core i5,4 GB,< 128 GB,In trên bao bì,NVIDIA,13 - 14.9 inch,1 tháng,Việt Nam,laptop,2.300.000 đ
Đã sử dụng (chưa sửa chữa),HP,ZBook,Intel Core i7,16 GB,500 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,laptop,7.500.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,ThinkPad,Intel Core i7,16 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,3 tháng,Mỹ,laptop,8.500.000 đ
Đã sử dụng (chưa sửa chữa),Microsoft,Surface Go,,,,In trên bao bì,,9 - 10.9 inch,Bảo hành hãng,Đang cập nhật,laptop,3.900.000 đ
Đã sử dụng (qua sửa chữa),Apple,MacBook Pro,AMD,16 GB,256 GB,In trên bao bì,AMD,15 - 16.9 inch,Hết bảo hành,Mỹ,laptop,5.500.000 đ
Mới,MSI,GF Series,Intel Core i5,16 GB,1 TB,In trên bao bì,NVIDIA,15 - 16.9 inch,Hết bảo hành,Việt Nam,laptop,10.300.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro,Intel Core i5,4 GB,128 GB,In trên bao bì,,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,laptop,2.100.000 đ
