,pc_brand,pc_model,elt_condition,elt_warranty,desktop_screen_size,pc_cpu,pc_ram,pc_vga,pc_drive_capacity,elt_origin,classify,price (VND),pc_cpu_label
5325,Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Nước khác,laptop,12000000.0,Intel
5326,Dell,Inspiron,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,4 GB,Onboard,< 128 GB,Việt Nam,laptop,1500000.0,Intel
5327,Dell,Inspiron,Đã sử dụng (chưa sửa chữa),Còn bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,< 128 GB,Việt Nam,laptop,2000000.0,Intel
5328,Dell,Vostro,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Nhật Bản,laptop,1800000.0,Intel
5329,Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i7,4 GB,Onboard,128 GB,Mỹ,laptop,5000000.0,Intel
5330,HP,Elitebook,Đã sử dụng (chưa sửa chữa),Còn bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Nước khác,laptop,5890000.0,Intel
5331,Panasonic,CF,Đã sử dụng (chưa sửa chữa),1 tháng,11 - 12.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Nước khác,laptop,3900000.0,Intel
5332,Asus,VivoBook S Series,Đã sử dụng (qua sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,4 GB,Onboard,256 GB,Nước khác,laptop,2100000.0,Intel
5333,Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),Còn bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Nước khác,laptop,5500000.0,Intel
5334,Dell,Inspiron,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core 2 Duo,2 GB,Onboard,320 GB,Nhật Bản,laptop,1000000.0,Intel
5335,MSI,GF Series,Đã sử dụng (chưa sửa chữa),4-6 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Nước khác,laptop,8500000.0,Intel
5336,Asus,VivoBook S Series,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i3,2 GB,Onboard,256 GB,Nước khác,laptop,1100000.0,Intel
5337,Dell,Inspiron,Đã sử dụng (qua sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i3,2 GB,Onboard,256 GB,Nước khác,laptop,600000.0,Intel
5338,Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,6 GB,Onboard,500 GB,Nước khác,laptop,1700000.0,Intel
5339,Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,512 GB,Mỹ,laptop,12900000.0,Intel
5340,Hãng Khác,Dòng khác,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Nhật Bản,laptop,3650000.0,Intel
5341,HP,Elitebook,Đã sử dụng (chưa sửa chữa),Còn bảo hành,13 - 14.9 inch,Intel Core i5,4 GB,Onboard,500 GB,Nước khác,laptop,2600000.0,Intel
5342,Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),1 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Nhật Bản,laptop,6300000.0,Intel
5343,Apple,MacBook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,512 GB,Mỹ,laptop,16000000.0,Intel
